Ref,Val,Package,PosX,PosY,Rot,Side
"J1","Conn_01x13_Male","Molex_PicoBlade_53398-1371_1x13-1MP_P1.25mm_Vertical",18.285000,61.400000,90.000000,bottom
"J2","Conn_01x13_Male","Molex_PicoBlade_53398-1371_1x13-1MP_P1.25mm_Vertical",39.334000,61.400000,90.000000,bottom
"J3","Conn_01x13_Male","Molex_PicoBlade_53398-1371_1x13-1MP_P1.25mm_Vertical",60.383000,61.400000,-90.000000,bottom
"J4","Conn_01x13_Male","Molex_PicoBlade_53398-1371_1x13-1MP_P1.25mm_Vertical",70.908000,61.400000,-90.000000,bottom
"J5","Conn_01x13_Male","Molex_PicoBlade_53398-1371_1x13-1MP_P1.25mm_Vertical",7.760000,61.400000,90.000000,bottom
"J6","Conn_01x13_Male","Molex_PicoBlade_53398-1371_1x13-1MP_P1.25mm_Vertical",28.809000,61.400000,90.000000,bottom
"J7","Conn_01x13_Male","Molex_PicoBlade_53398-1371_1x13-1MP_P1.25mm_Vertical",49.858000,61.400000,-90.000000,bottom
"J8","Conn_01x13_Male","Molex_PicoBlade_53398-1371_1x13-1MP_P1.25mm_Vertical",81.432000,61.400000,-90.000000,bottom
