Item,Designator,Quantity,Manufacturer,Partnumber,Description,Package/Footprint,Type,Instructions
1,"J9, J10",2,"Samtec","SSW-126-01-G-D","Board to Board & Mezzanine Connectors .100 Tiger Buy Socket Strip","Connector","Through hole","Solder in bottom side, component in top side"
2,"J1, J2, J3, J4, J5, J6, J7, J8",8,"Molex","53398-1371","Headers & Wire Housings 1.25MM HDR 13 CKT Vertical","Connector","SMD/SMT",
