Ref,Val,Package,PosX,PosY,Rot,Side
"J9","SAMTEC-SSW-126-01-G-D","TSW-126-07-X-D",44.600000,87.994000,0.000000,top
"J10","SAMTEC-SSW-126-01-G-D","TSW-126-07-X-D",44.600000,82.914000,0.000000,top
